File Name,Table Size,Table Base,Words,Time
english_small.txt,250727,1,27333,TIMEOUT
english_small.txt,250727,27183,84097,0.680152899999996
english_small.txt,250727,250726,26607,TIMEOUT
english_small.txt,402221,1,27204,TIMEOUT
english_small.txt,402221,27183,84097,0.6693836999999689
english_small.txt,402221,250726,84097,0.6687901999999895
english_small.txt,1000081,1,27248,TIMEOUT
english_small.txt,1000081,27183,84097,0.6600012000000106
english_small.txt,1000081,250726,84097,0.6620661999999697
english_large.txt,250727,1,27299,TIMEOUT
english_large.txt,250727,27183,194433,1.7149133000000347
english_large.txt,250727,250726,26557,TIMEOUT
english_large.txt,402221,1,27249,TIMEOUT
english_large.txt,402221,27183,194433,1.596867100000054
english_large.txt,402221,250726,194433,1.5724407999999812
english_large.txt,1000081,1,27148,TIMEOUT
english_large.txt,1000081,27183,194433,1.5646864000000278
english_large.txt,1000081,250726,194433,1.5700297999999293
french.txt,250727,1,27389,TIMEOUT
french.txt,250727,27183,202358,2.0092228999999406
french.txt,250727,250726,27803,TIMEOUT
french.txt,402221,1,27615,TIMEOUT
french.txt,402221,27183,202358,1.7819074999999884
french.txt,402221,250726,202358,1.7805327000000943
french.txt,1000081,1,27513,TIMEOUT
french.txt,1000081,27183,202358,1.7372024999999667
french.txt,1000081,250726,202358,1.735821499999929
